report_date,category,revenue
26/05/2022,Ethnic Dress,26203.0
26/05/2022,Saree,2452.0
26/05/2022,Set,792053.0
26/05/2022,Top,165302.0
26/05/2022,Western Dress,270980.0
26/05/2022,kurta,450253.0
27/05/2022,Blouse,14431.0
27/05/2022,Bottom,1746.0
27/05/2022,Ethnic Dress,25800.0
27/05/2022,Saree,2358.0
27/05/2022,Set,782024.0
27/05/2022,Top,159251.0
27/05/2022,Western Dress,337399.0
27/05/2022,kurta,474556.0
28/05/2022,Blouse,11049.0
28/05/2022,Bottom,1529.0
28/05/2022,Ethnic Dress,28244.0
28/05/2022,Saree,3446.0
28/05/2022,Set,792817.0
28/05/2022,Top,159834.0
28/05/2022,Western Dress,398585.0
28/05/2022,kurta,480283.0
29/05/2022,Blouse,11652.0
29/05/2022,Bottom,1198.0
29/05/2022,Ethnic Dress,23535.0
29/05/2022,Saree,5017.0
29/05/2022,Set,792074.0
29/05/2022,Top,174136.0
29/05/2022,Western Dress,397150.0
29/05/2022,kurta,481699.0
30/05/2022,Blouse,11808.0
30/05/2022,Bottom,1337.0
30/05/2022,Ethnic Dress,21642.0
30/05/2022,Saree,4226.0
30/05/2022,Set,808827.0
30/05/2022,Top,174773.0
30/05/2022,Western Dress,364152.0
30/05/2022,kurta,460490.0
31/05/2022,Blouse,13383.0
31/05/2022,Bottom,518.0
31/05/2022,Ethnic Dress,27030.0
31/05/2022,Saree,2456.0
31/05/2022,Set,817611.0
31/05/2022,Top,166497.0
31/05/2022,Western Dress,339744.0
31/05/2022,kurta,452832.0
01/06/2022,Blouse,12608.0
01/06/2022,Bottom,1036.0
01/06/2022,Ethnic Dress,36971.0
01/06/2022,Saree,885.0
01/06/2022,Set,826179.0
01/06/2022,Top,163882.0
01/06/2022,Western Dress,338213.0
01/06/2022,kurta,469871.0
02/06/2022,Blouse,11986.0
02/06/2022,Bottom,518.0
02/06/2022,Ethnic Dress,41632.0
02/06/2022,Saree,1784.0
02/06/2022,Set,825526.0
02/06/2022,Top,164861.0
02/06/2022,Western Dress,323807.0
02/06/2022,kurta,489600.0
03/06/2022,Blouse,9962.0
03/06/2022,Bottom,922.0
03/06/2022,Ethnic Dress,29537.0
03/06/2022,Saree,899.0
03/06/2022,Set,770208.0
03/06/2022,Top,136891.0
03/06/2022,Western Dress,268678.0
03/06/2022,kurta,519370.0
04/06/2022,Blouse,9224.0
04/06/2022,Bottom,755.0
04/06/2022,Ethnic Dress,21484.0
04/06/2022,Saree,3345.0
04/06/2022,Set,816240.0
04/06/2022,Top,111136.0
